Paper Title,Author(s),Abstract,Conference/Journal,Conference/Journal Score (from http://portal.core.edu.au/conf-ranks/ and http://portal.core.edu.au/jnl-ranks/ and/or https://www.scimagojr.com/),Year,BibTeX Reference
A zero-knowledge protocol for nuclear warhead verification,"Alexander Glaser, Boaz Barak, Robert J. Goldston",The verification of nuclear warheads for arms control involves a paradox: international inspectors will have to gain high confidence in the authenticity of submitted items while learning nothing about them. Proposed inspection systems featuring â€˜information barriersâ€™ designed to hide measurements stored in electronic systems are at risk of tampering and snooping. Here we show the viability of a fundamentally new approach to nuclear warhead verification that incorporates a zero-knowledge protocol which is designed in such a way that sensitive information is never measured and so does not need to be hidden. We interrogate submitted items with energetic neutrons making in effect differential measurements of both neutron transmission and emission. Calculations for scenarios in which material is diverted from a test object show that a high degree of discrimination can be achieved while revealing zero information. Our ideas for a physical zero-knowledge system could have applications beyond the context of nuclear disarmament. The proposed technique suggests a way to perform comparisons or computations on personal or confidential data without measuring the data in the first place.,Nature 510,,2014,"@Article{Glaser2014,
author={Glaser, Alexander
and Barak, Boaz
and Goldston, Robert J.},
title={A zero-knowledge protocol for nuclear warhead verification},
journal={Nature},
year={2014},
month={Jun},
day={01},
volume={510},
number={7506},
pages={497-502},
abstract={The verification of nuclear warheads for arms control involves a paradox: international inspectors will have to gain high confidence in the authenticity of submitted items while learning nothing about them. Proposed inspection systems featuring `information barriers', designed to hide measurements stored in electronic systems, are at risk of tampering and snooping. Here we show the viability of a fundamentally new approach to nuclear warhead verification that incorporates a zero-knowledge protocol, which is designed in such a way that sensitive information is never measured and so does not need to be hidden. We interrogate submitted items with energetic neutrons, making, in effect, differential measurements of both neutron transmission and emission. Calculations for scenarios in which material is diverted from a test object show that a high degree of discrimination can be achieved while revealing zero information. Our ideas for a physical zero-knowledge system could have applications beyond the context of nuclear disarmament. The proposed technique suggests a way to perform comparisons or computations on personal or confidential data without measuring the data in the first place.},
issn={1476-4687},
doi={10.1038/nature13457},
url={https://doi.org/10.1038/nature13457}
}"
Lightweight zero knowledge authentication for Internet of things,"Alican Beydemir,, Ibrahim Sogukpinar",Importance of Internet of Things technologies increased in recent years. However these technologies carry some security vulnerabilities because of their network communication layer. The root cause of these vulnerabilities is usually the Authentication problem. Zero knowledge proof method is a strong cryptographic solution for Authentication problem that is proving of having a knowledge to another party without revealing anything other than the veracity of the statement. Zero knowledge proof method is consist of two-way complex mathematical algorithms for both parties. In this work a new method that uses zero knowledge proofs has been proposed to provide efficient solution for Internet of Things technologies. New method was implemented and tested then compared with existing proposed zero knowledge proof based authentication methods.,IEEE,,2017,"@INPROCEEDINGS{8093410, author={Beydemir, Alican and Soğukpinar, İbrahim}, booktitle={2017 International Conference on Computer Science and Engineering (UBMK)}, title={Lightweight zero knowledge authentication for Internet of things}, year={2017}, volume={}, number={}, pages={360-365}, doi={10.1109/UBMK.2017.8093410}}"
On the Impossibility of Post-Quantum Black-Box Zero-Knowledge in Constant Round,"Nai-Hui Chia, Kai-Min Chung, Qipeng Liu, Takashi Yamakawa",We investigate the existence of constant-round post-quantum black-box zero-knowledge protocols for NP. As a main result we show that there is no constant-round post-quantum black-box zero-knowledge argument for NP unless NPâŠ†BQP . As constant-round black-box zero-knowledge arguments for NP exist in the classical setting our main result points out a fundamental difference between post-quantum and classical zero-knowledge protocols. Combining previous results we conclude that unless NPâŠ†BQP  constant-round post-quantum zero-knowledge protocols for NP exist if and only if we use non-black-box techniques or relax certain security requirements such as relaxing standard zero-knowledge to Ïµ -zero-knowledge. Additionally we also prove that three-round and public-coin constant-round post-quantum black-box Ïµ -zero-knowledge arguments for NP do not exist unless NPâŠ†BQP .,IEEE 62nd Annual Symposium on Foundations of Computer Science,SJR - 2.051,2021,"@inproceedings{chia2022impossibility,
title={On the Impossibility of Post-Quantum Black-Box Zero-Knowledge in Constant Round},
author={Chia, Nai-Hui and Chung, Kai-Min and Liu, Qipeng and Yamakawa, Takashi},
booktitle={2021 IEEE 62nd Annual Symposium on Foundations of Computer Science (FOCS)},
pages={59--67},
year={2022},
organization={IEEE}
}"
An Efficient Non-Profiled Side-Channel Attack on the CRYSTALS-Dilithium Post-Quantum Signature,"Zhaohui Chen, Emre Karabulut, Aydin Aysu, Yuan Ma, Jiwu Jing",Post-quantum digital signature is a critical primitive of computer security in the era of quantum hegemony. As a finalist of the post-quantum cryptography standardization process the theoretical security of the CRYSTALS-Dilithium (Dilithium) signature scheme has been quantified to withstand classical and quantum cryptanalysis. However there is an inherent power side-channel information leakage in its implementation instance due to the physical characteristics of hardware.This work proposes an efficient non-profiled Correlation Power Analysis (CPA) strategy on Dilithium to recover the secret key by targeting the underlying polynomial multiplication arithmetic. We first develop a conservative scheme with a reduced key guess space which can extract a secret key coefficient with a 99.99% confidence using 157 power traces of the reference Dilithium implementation. However this scheme suffers from the computational overhead caused by the large modulus in Dilithium signature. To further accelerate the CPA run-time we propose a fast two-stage scheme that selects a smaller search space and then resolves false positives. We finally construct a hybrid scheme that combines the advantages of both schemes. Real-world experiment on the power measurement data shows that our hybrid scheme improves the attackâ€™s execution time by 7.77Ã—.,IEEE 39th International Conference on Computer Design,SJR - 0.102,2021,"@inproceedings{chen2021efficient,
title={An Efficient Non-Profiled Side-Channel Attack on the CRYSTALS-Dilithium Post-Quantum Signature},
author={Chen, Zhaohui and Karabulut, Emre and Aysu, Aydin and Ma, Yuan and Jing, Jiwu},
booktitle={2021 IEEE 39th International Conference on Computer Design (ICCD)},
pages={583--590},
year={2021},
organization={IEEE}
}"
Reconciling Nist's Post-Quantum Cryptography Candidates with Performance Requirements,"Auten, Dale",Developing and deploying asymmetric cryptographic algorithms that cannot be broken by quantum computers remains critical in cryptography today. Ample research has done on the candidates of NISTs post-quantum cryptography standardization project which is now on its third phase but there remains work to be done. Projects such as Open Quantum Safe have moved on to integrating and benchmarking the algorithms in OpenSSL and other software but their scope is limited. This paper seeks to expand this scope by providing a quantitative analysis of existing key encapsulation mechanisms (KEMs) while accounting for software and network-related overheads providing a look at the algorithms performance in a way more closely resembling the use cases where they will be deployed. This data is compared to existing data from the ECRYPT project and some vital conclusions about performance are drawn. This work ultimately shows that while useful for benchmarking the simplistic forms of analysis commonly used can misrepresent the algorithms performance.,ProQuest Dissertations and Theses,N/A - Open-Access grad thesis,2020,"@misc{AutenDale2020RNPC,
abstract = {Developing and deploying asymmetric cryptographic algorithms that cannot be broken by quantum computers remains critical in cryptography today. Ample research has done on the candidates of NIST's post-quantum cryptography standardization project, which is now on its third phase, but there remains work to be done. Projects such as Open Quantum Safe have moved on to integrating and benchmarking the algorithms in OpenSSL and other software, but their scope is limited. This paper seeks to expand this scope by providing a quantitative analysis of existing key encapsulation mechanisms (KEMs) while accounting for software and network-related overheads, providing a look at the algorithms' performance in a way more closely resembling the use cases where they will be deployed. This data is compared to existing data from the ECRYPT project, and some vital conclusions about performance are drawn. This work ultimately shows that, while useful for benchmarking, the simplistic forms of analysis commonly used can misrepresent the algorithms' performance.},
author = {Auten, Dale},
copyright = {Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.},
isbn = {9798505585924},
keywords = {Computer science},
language = {eng},
publisher = {ProQuest Dissertations Publishing},
title = {Reconciling Nist's Post-Quantum Cryptography Candidates with Performance Requirements},
year = {2020},
}"
Analysis of Crystals-Dilithium for BlockChain Security,"Sharma, Lucy ; Mishra, Arun",The emergence of quantum computers has threatened all the areas of internet security and privacy by providing an efficient solution to the underlying mathematical assumptions of the present cryptographic paradigms. The security of current internet applications utilizes this inefficiency in solving the above mathematical problems as a tool for security. One such prominent area where these security paradigms are at utmost core are Block-chains. They build a tamperproof network among trustless peers using these mathematical problems. Quantum attacks to applications utilizing blockchains pose a threat to a market worth 700 million USD. Therefore studies towards quantum secure blockchain are of utmost priority. Crystals Dilithium seems to be promising candidate for post-quantum blockchain security. This article reviews work done on this frontier and conclude Crystals-Dilithium relevance for quantum secure blockchains.,2021 2nd International Conference on Secure Cyber Computing and Communications (ICSCCC),N/A,2021,"@inproceedings{SharmaLucy2021AoCf,
abstract = {The emergence of quantum computers has threatened all the areas of internet security and privacy by providing an efficient solution to the underlying mathematical assumptions of the present cryptographic paradigms. The security of current internet applications utilizes this inefficiency in solving the above mathematical problems as a tool for security. One such prominent area where these security paradigms are at utmost core are Block-chains. They build a tamperproof network among trustless peers using these mathematical problems. Quantum attacks to applications utilizing blockchains pose a threat to a market worth 700 million USD. Therefore studies towards quantum secure blockchain are of utmost priority. Crystals Dilithium seems to be promising candidate for post-quantum blockchain security. This article reviews work done on this frontier and conclude Crystals-Dilithium relevance for quantum secure blockchains. Index Terms- Post-Quantum Cryptography, Security, Blockchains, Lattice-Based Cryptography, Digital Signatures},
author = {Sharma, Lucy and Mishra, Arun},
booktitle = {2021 2nd International Conference on Secure Cyber Computing and Communications (ICSCCC)},
isbn = {1665444150},
keywords = {Blockchain ; Blockchains ; Computers ; Digital Signatures ; Internet security ; Lattice-Based Cryptography ; Post-Quantum Cryptography ; Privacy ; Quantum algorithm ; Security ; Tools ; Uncertainty},
language = {eng},
pages = {160-165},
publisher = {IEEE},
title = {Analysis of Crystals-Dilithium for BlockChain Security},
year = {2021},
}"
Towards Post-Quantum Blockchain: A Review on Blockchain Cryptography Resistant to Quantum Computing Attacks,"Tiago M. Fernández-Caramès, Paula Fraga-Lamas",Blockchain and other Distributed Ledger Technologies (DLTs) have evolved significantly in the last years and their use has been suggested for numerous applications due to their ability to provide transparency redundancy and accountability. In the case of blockchain such characteristics are provided through public-key cryptography and hash functions. However the fast progress of quantum computing has opened the possibility of performing attacks based on Grovers and Shors algorithms in the near future. Such algorithms threaten both public-key cryptography and hash functions forcing to redesign blockchains to make use of cryptosystems that withstand quantum attacks thus creating which are known as post-quantum quantum-proof quantum-safe or quantum-resistant cryptosystems. For such a purpose this article first studies current state of the art on post-quantum cryptosystems and how they can be applied to blockchains and DLTs. Moreover the most relevant post-quantum blockchain systems are studied as well as their main challenges. Furthermore extensive comparisons are provided on the characteristics and performance of the most promising post-quantum public-key encryption and digital signature schemes for blockchains. Thus this article seeks to provide a broad view and useful guidelines on post-quantum blockchain security to future blockchain researchers and developers.,IEEE Access,B,2020,"@misc{fernández-caramès_fraga-lamas, title={Towards post-quantum blockchain: A review on Blockchain cryptography resistant to quantum computing attacks}, url={https://ieeexplore.ieee.org/abstract/document/8967098/keywords#keywords}, journal={IEEE Xplore}, author={Fernández-Caramès, Tiago M. and Fraga-Lamas, Paula}}"
Short Zero-Knowledge Proof of Knowledge for Lattice-Based Commitment,"Yang Tao, Xi Wang, Rui Zhang",Commitment scheme together with zero-knowledge proof is a fundamental tool for cryptographic design. Recently Baum et al. proposed a commitment scheme (BDLOP) which is by far the most efficient lattice-based one and has been applied on several latest constructions of zero-knowledge proofs. In this paper we propose a more efficient zero-knowledge proof of knowledge for BDLOP commitment opening with a shorter proof. There are a few technical challenges and we develop some new techniques: First we make an adaption of BDLOP commitment by evaluating the opening with the singular value rather than   â„“2  norm in order to get compact parameters. Then we try to use the bimodal Gaussian technique to minimize the size of the proof. Finally utilizing a modulus-switch technique we can retain the size of the commitment.,International Conference on Post-Quantum Cryptography,C,2020,"@misc{yang&nbsp;tao_xi&nbsp;wang_rui&nbsp;zhang_author_xi&nbsp;wang12_author_2020, title={Short Zero-knowledge proof of knowledge for lattice-based commitment}, url={https://link.springer.com/chapter/10.1007/978-3-030-44223-1_15}, journal={SpringerLink}, publisher={Springer, Cham}, author={Yang&nbsp;Tao and Xi&nbsp;Wang and Rui&nbsp;Zhang and author, Yang&nbsp;Tao12Email and Xi&nbsp;Wang12 and author, Rui&nbsp;Zhang12Email}, year={2020}, month={Apr}}"
"Towards Post-Quantum Blockchain: A Review on
Blockchain Cryptography Resistant to
Quantum Computing Attacks","TIAGO M. FERNÁNDEZ-CARAMÉS
PAULA FRAGA-LAMAS",Blockchain and other Distributed Ledger Technologies (DLTs) have evolved significantly in the last years and their use has been suggested for numerous applications due to their ability to provide transparency redundancy and accountability. In the case of blockchain such characteristics are provided through public-key cryptography and hash functions. However the fast progress of quantum computing has opened the possibility of performing attacks based on Grovers and Shors algorithms in the near future. Such algorithms threaten both public-key cryptography and hash functions forcing to redesign blockchains to make use of cryptosystems that withstand quantum attacks thus creating which are known as post-quantum quantum-proof quantum-safe or quantum-resistant cryptosystems. For such a purpose this article first studies current state of the art on post-quantum cryptosystems and how they can be applied to blockchains and DLTs. Moreover the most relevant post-quantum blockchain systems are studied as well as their main challenges. Furthermore extensive comparisons are provided on the characteristics and performance of the most promising post-quantum public-key encryption and digital signature schemes for blockchains. Thus this article seeks to provide a broad view and useful guidelines on post-quantum blockchain security to future blockchain researchers and developers.,IEEE Access,SJR - 0.587,2020,"@misc{tiago m. fernández-caramés_paula fraga-lamas_2020, title={Towards post-quantum blockchain: A review on Blockchain cryptography resistant to quantum computing attacks}, url={https://ieeexplore.ieee.org/abstract/document/8967098}, journal={IEEE Xplore}, publisher={IEEE ACCESS}, author={TIAGO M. FERNÁNDEZ-CARAMÉS and PAULA FRAGA-LAMAS}, year={2020}, month={Jan}}"
Post-quantum cryptography,Daniel J. Bernstein & Tanja Lange,Cryptography is essential for the security of online communication cars and implanted medical devices. However many commonly used cryptosystems will be completely broken once large quantum computers exist. Post-quantum cryptography is cryptography under the assumption that the attacker has a large quantum computer; post-quantum cryptosystems strive to remain secure even in this scenario. This relatively young research area has seen some successes in identifying mathematical operations for which quantum algorithms offer little advantage in speed and then building cryptographic systems around those. The central challenge in post-quantum cryptography is to meet demands for cryptographic usability and flexibility without sacrificing confidence.,Nature 549,SJR - 17.875,2017,"@misc{bernstein_lange_2017, title={Post-quantum cryptography}, url={https://www.nature.com/articles/nature23461}, journal={Nature News}, publisher={Nature Publishing Group}, author={Bernstein, Daniel J. and Lange, Tanja}, year={2017}, month={Sep}}"
CRYSTALS-Kyber: a CCA-secure module-lattice-based KEM,"Joppe Bos, Leo Ducas, Eike Kiltz, Tancrede Lepoint, Vadim Lyubashevsky, John M. Schanck, Peter Schwabe, Gregor Seiler, Damien Stehle",Abstractâ€”Rapid advances in quantum computing together with the announcement by the National Institute of Standards and Technology (NIST) to define new standards for digitalsignature encryption and key establishment protocols have created significant interest in post-quantum cryptographic schemes. This paper introduces Kyber (part of CRYSTALS â€“ Cryptographic Suite for Algebraic Lattices â€“ a package submitted to NIST post-quantum standardization effort in November 2017) a portfolio of post-quantum cryptographic primitives built around a key-encapsulation mechanism (KEM) based on hardness assumptions over module lattices. Our KEM is most naturally seen as a successor to the NEWHOPE KEM (Usenix 2016). In particular the key and ciphertext sizes of our new construction are about half the size the KEM offers CCA instead of only passive security the security is based on a more general (and flexible) lattice problem and our optimized implementation results in essentially the same running time as the aforementioned scheme. We first introduce a CPA-secure public-key encryption scheme apply a variant of the Fujisakiâ€“Okamoto transform to create a CCA-secure KEM and eventually construct in a black-box manner CCA-secure encryption key exchange and authenticated-key-exchange schemes. The security of our primitives is based on the hardness of Module-LWE in the classical and quantum random oracle models and our concrete parameters conservatively target more than 128 bits of postquantum security.,IEEE European Symposium on Security and Privacy,"SJR - None available, H-index - 11",2018,"@inproceedings{bos2018crystals,
title={CRYSTALS-Kyber: a CCA-secure module-lattice-based KEM},
author={Bos, Joppe and Ducas, L{\'e}o and Kiltz, Eike and Lepoint, Tancr{\`e}de and Lyubashevsky, Vadim and Schanck, John M and Schwabe, Peter and Seiler, Gregor and Stehl{\'e}, Damien},
booktitle={2018 IEEE European Symposium on Security and Privacy (EuroS\&P)},
pages={353--367},
year={2018},
organization={IEEE}
}"
High-performance area-efficient polynomial ring processor for CRYSTALS-Kyber on FPGAs,"Zhaohui Chen, Yuan Ma, Tianyu Chen, Jingqiang Lin, Jiwu Jing",The quantum-resistant attribute is a new design criterion for cryptography algorithms in the era of quantum supremacy. Lattice-based cryptography is proved to be secure against quantum computing. CRYSTALS-Kyber is a lattice-based promising candidate in the post-quantum cryptography standardization process. This paper proposes a high-performance polynomial ring processor for the CRYSTALS-Kyber algorithm. The processor executes optimized polynomial ring arithmetic which cuts off over 20%/50% on the times of modular multiplication/addition compared with the straightforward implementations. Besides the forward and inverse Number Theoretic Transform (NTT) reuse the control logic with the help of an efficient configurable butterfly unit to minimize the area of the finite state machine. Further the underlying dual-column sequential storage scheme breaks the bottleneck of memory accessing. To evaluate the performance a fully pipelined architecture is implemented on a low-cost FPGA platform. Benefiting from these optimizations the Kyber1024 processor can perform NTT operation for a 4-dimensional polynomial vector in 17.1 Î¼s and it achieves speedup by a factor of 2.1 compared with the state-of-the-art implementation.,"Integration, the VLSI Journal",SJR - 0.264,2021,"@article{chen2021high,
title={High-performance area-efficient polynomial ring processor for CRYSTALS-kyber on FPGAs},
author={Chen, Zhaohui and Ma, Yuan and Chen, Tianyu and Lin, Jingqiang and Jing, Jiwu},
journal={Integration},
volume={78},
pages={25--35},
year={2021},
publisher={Elsevier}
}"
A zero-knowledge-proof-based digital identity management scheme in blockchain,"Ziaohui Yang, Wenjie Li",The traditional centralized digital identity management system (DIMS) has been subject to threats such as fragmented identity single point of failure internal attacks and privacy leakage. Emerging blockchain technology allows DIMSs to be deployed in it which largely alleviates the problems caused by the centralized third party but its inherent transparency and lack of privacy pose a huge challenge to DIMSs. In this regard we leverage the smart contracts and zero-knowledge proof (ZKP) algorithms to improve the existing claim identity model in blockchain to realize the identity unlinkability effectively avoiding the exposure of the ownership of attributes. Furthermore we implement a system prototype named BZDIMS that includes a challenge-response protocol which allows users to selectively disclose their ownership of attributes to service providers to protect usersâ€™ behavior privacy. Performance evaluation and security analysis show that our scheme achieves effective attribute privacy protection and a wider application scope compared with the prior model.,Scence Direct,N/A,2020,"@article{YANG2020102050, title = {A zero-knowledge-proof-based digital identity management scheme in blockchain}, journal = {Computers & Security}, volume = {99}, pages = {102050}, year = {2020}, issn = {0167-4048}, doi = {https://doi.org/10.1016/j.cose.2020.102050}, url = {https://www.sciencedirect.com/science/article/pii/S0167404820303230}, author = {Xiaohui Yang and Wenjie Li}, keywords = {Blockchain, Zero-knowledge proof, Smart contract, Digital identity, Privacy protection},"
Privacy-Preserving Traffic Management: A Blockchain and Zero-Knowledge Proof Inspired Approach,"Wanxin Li, Hao Guo, Mark Nejad, Chien-Chung Shen",Incorporation of connected vehicle (CV) data into real-time traffic management systems presents a host of new challenges resulting from the current lack of data integrity and data privacy in traffic networks. Over the past few years blockchain technologies have been inspiring extensive innovations in the transportation field. However due to the transparency property sensitive data stored on the blockchain would be accessible to anyone resulting in a lack of privacy. In this paper we propose a decentralized and location-aware architecture to address the data integrity along with the privacy-preserving issues in blockchain-based traffic management systems. Our proposed architecture integrates with permissioned and modular blockchain network and non-interactive zero-knowledge range proof (ZKRP) protocol. We develop the prototype system on the Hyperledger Fabric platform and Hyperledger Ursa cryptographic library. The performance results show that our approach is effective and feasible for real-time traffic management while preserving the data privacy requirements.,IEEE,N/A,2020,"@ARTICLE{9210529, author={Li, Wanxin and Guo, Hao and Nejad, Mark and Shen, Chien-Chung}, journal={IEEE Access}, title={Privacy-Preserving Traffic Management: A Blockchain and Zero-Knowledge Proof Inspired Approach}, year={2020}, volume={8}, number={}, pages={181733-181743}, doi={10.1109/ACCESS.2020.3028189}}"
Towards CRYSTALS-Kyber: A M-LWE Cryptoprocessor with Area-Time Trade-Off,Kan Yao; Dur-E-Shahwar Kundi; Chenghua Wang; Maire O’Neill; Weiqiang Liu,CRYSTALS-Kyber is a quantum-resistant and promising lattice-based cryptography (LBC) in the finalists of the third round post-quantum cryptography (PQC) standardization which is based on the hardness of Module-Learning with Errors (M-LWE). The variadic parameters make M-LWE obtain a more flexible security-performance trade-off than Ring-LWE. In this paper we propose a M-LWE cryptoprocessor targeting CRYSTALS-Kyber with area-time trade-off for the first time. This balanced design includes a fast and low-cost Binomial Sampler and vector-polynomials multiplication structure based on pipelined decimation-in-frequency (DIF) based Number Theoretic Transform (NTT) technique. The M-LWE cryptoprocessor achieve 27708 encryption operations per second using only 690 slices and 106716 decryption operations per second using only 571 slices. Our proposed design achieved the lowest area-time product (ATP) with at least 2 Ï‡ performance improvement than the state-of-the-art LBC designs with a similar security level and complexity of polynomials.,2021 IEEE International Symposium on Circuits and Systems (ISCAS),N/a,2021,"@INPROCEEDINGS{9401253,
author={Yao, Kan and Kundi, Dur-E-Shahwar and Wang, Chenghua and O’Neill, Maire and Liu, Weiqiang},
booktitle={2021 IEEE International Symposium on Circuits and Systems (ISCAS)}, title={Towards CRYSTALS-Kyber: A M-LWE Cryptoprocessor with Area-Time Trade-Off}, year={2021},
volume={},
number={},
pages={1-5},
doi={10.1109/ISCAS51556.2021.9401253}}"
A Software/Hardware Co-Design of Crystals-Dilithium Signature Scheme,"Zhen Zhou, Debiao He, Zhe Liu, Min Luo, Kim-Kwang Raymond Choo",As quantum computers become more affordable and commonplace existing security systems that are based on classical cryptographic primitives such as RSA and Elliptic Curve Cryptography (ECC) will no longer be secure. Hence there has been interest in designing post-quantum cryptographic (PQC) schemes such as those based on lattice-based cryptography (LBC). The potential of LBC schemes is evidenced by the number of such schemes passing the selection of NIST PQC Standardization Process Round-3. One such scheme is the Crystals-Dilithium signature scheme which is based on the hard module-lattice problem. However there is no efficient implementation of the Crystals-Dilithium signature scheme. Hence in this article we present a compact hardware architecture containing elaborate modular multiplication units using the Karatsuba algorithm along with smart generators of address sequence and twiddle factors for NTT which can complete polynomial addition/multiplication with the parameter setting of Dilithium in a short clock period. Also we propose a fast software/hardware co-design implementation on Field Programmable Gate Array (FPGA) for the Dilithium scheme with a tradeoff between speed and resource utilization. Our co-design implementation outperforms a pure C implementation on a Nios-II processor of the platform Altera DE2-115 in the sense that our implementation is 11.2 and 7.4 times faster for signature and verification respectively. In addition we also achieve approximately 51% and 31% speed improvement for signature and verification in comparison to the pure C implementation on processor ARM Cortex-A9 of ZYNQ-7020 platform.,ACM transactions on reconfigurable technology and systems,N/A,2021,"@article{10.1145/3447812,
author = {Zhou, Zhen and He, Debiao and Liu, Zhe and Luo, Min and Choo, Kim-Kwang Raymond},
title = {A Software/Hardware Co-Design of Crystals-Dilithium Signature Scheme},
year = {2021},
issue_date = {June 2021},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {14},
number = {2},
issn = {1936-7406},
url = {https://doi.org/10.1145/3447812},
doi = {10.1145/3447812},
journal = {ACM Trans. Reconfigurable Technol. Syst.},
month = {jun},
articleno = {11},
numpages = {21},
keywords = {hardware implementation, Crystals-Dilithium, Lattice-based cryptography(LBC), polynomial multiplication}
}"
Side-Channel Analysis of CRYSTALS-Kyber and A Novel Low-Cost Countermeasure,"Meziane Hamoudi, Amina Bel Korchi, Sylvain Guilley, Sofiane Takarabt, Khaled Karray & Youssef Souissi",In this paper we propose a vertical side-channel leakage detection on the decryption function of the third round implementation of CPA-secure public-key encryption scheme underlying CRYSTALS-Kyber a lattice-based key encapsulation mechanism which is a candidate to the NIST Post-Quantum Cryptography standardization project. Using a leakage assessment metric we show that the side-channel information can be efficiently used to pinpoint operations leaking the secret variable and how masking countermeasures can be applied. We detect leakages in the polynomial multiplication between the secret key and the ciphertext. We propose and evaluate two different masking countermeasures based on additive and multiplicative masking. To the best of our knowledge the multiplicative masking has not been proposed before as a countermeasure to CRYSTALS-Kyber vulnerabilities. We demonstrate their efficiency and discuss their impact in terms of performance. Our work is beneficial to assess and enhance the security of Post-Quantum Cryptography against advanced vertical side-channel analysis.,Communications in Computer and Information Science,B,2021,"@misc{hamoudi_bel korchi_guilley_takarabt_karray_souissi_1970, title={Side-channel analysis of&nbsp;crystals-kyber and a novel low-cost countermeasure}, url={https://link.springer.com/chapter/10.1007/978-3-030-90553-8_3#chapter-info}, journal={SpringerLink}, publisher={Springer International Publishing}, author={Hamoudi, Meziane and Bel Korchi, Amina and Guilley, Sylvain and Takarabt, Sofiane and Karray, Khaled and Souissi, Youssef}, year={1970}, month={Jan}}"
Towards CRYSTALS-Kyber VHDL Implementation,"Sara Ricci a
, Petr Jedlicka b
, Peter Cibik c
, Petr Dzurenda d
, Lukas Malina e
and Jan Hajny",Kyber is one of the three finalists of the National Institute of Standards and Technology (NIST) post-quantumcryptography competition. This article presents an optimized Very High Speed Integrated Circuit HardwareDescription Language (VHDL)-based implementation of the main components of the Kyber scheme namelyNumber-Theoretic Transform (NTT) and Keccak. We focus specifically on NTT Keccak and their derivativessince they largely determine Kyberâ€™s performance due to their wide involvement in each step of the scheme.Our high-speed implementation also takes into account the trade-off between the degree of parallelization andthe resources utilization. The NTT component is more than 27% faster than the state-of-the-art implementations. Furthermore the optimization helps the algorithm to achieve 1 572 839 NTT operations per second.,e 18th International Conference on Security and Cryptography (SECRYPT 2021),B,2021,"@misc{www.scitepress.org, url={https://www.scitepress.org/Papers/2021/104522/104522.pdf}}"
CRYSTALS - Dilithium: Digital Signatires from Module Lattices,"Leo Ducas, Peter Schwabe, Tancrede Lepoint, Gregor Seiler, Vadim Lyubashevsky, Damien Stehle",This paper presents Dilithium a lattice-based signature scheme that is part of the CRYSTALS (Cryptographic Suite for Algebraic Lattices) package that will be submitted to the NIST call for postquantum standards. The scheme is designed to be simple to securely implement against side-channel attacks and to have comparable efficiency to the currently best lattice-based signature schemes. Our implementation results show that Dilithium is competitive with lattice schemes of the same security level and outperforms digital signature schemes based on other post-quantum assumptions.,IACR Transactions on Symmetric Cryptology,SJR - 0.715,2018,"@article{ducas2018crystals,
title={Crystals--dilithium: Digital signatures from module lattices},
author={Ducas, L{\'e}o and Lepoint, Tancrede and Lyubashevsky, Vadim and Schwabe, Peter and Seiler, Gregor and Stehl{\'e}, Damien},
year={2018}
}"
A Compact and High-Performance Hardware Architecture for CRYSTALS-Dilithium,"Cankun Zhao, Neng Zhang, Hanning Wang, Bohan Yang, Wenping Zhu, Zhengdong Li, Min Zhu, Shouyi Yin, Shaojun Wei, Leibo Liu",The lattice-based CRYSTALS-Dilithium scheme is one of the three third-round digital signature finalists in the National Institute of Standards and TechnologyPost-Quantum Cryptography Standardization Process. Due to the complex calcula-tions and highly individualized functions in Dilithium its hardware implementationsface the problems of large area requirements and low efficiency. This paper proposesseveral optimization methods to achieve a compact and high-performance hardwarearchitecture for round 3 Dilithium. Specifically a segmented pipelined processingmethod is proposed to reduce both the storage requirements and the processingtime. Moreover several optimized modules are designed to improve the efficiency ofthe proposed architecture including a pipelined number theoretic transform mod-ule a SampleInBall module a Decompose module and three modular reductionmodules. Compared with state-of-the-art designs for Dilithium on similar platformsour implementation requires1.4Ã—/1.4Ã—/3.0Ã—/4.5Ã—fewer LUTs/FFs/BRAMs/DSPsrespectively and4.4Ã—/1.7Ã—/1.4Ã—less time for key generation signature generationand signature verification respectively for NIST security level 5.,IACR Transactions on Cryptographic Hardware and Embedded Systems,N/A - not found on any of the sources,2022,"@article{zhao2022compact,
title={A Compact and High-Performance Hardware Architecture for CRYSTALS-Dilithium},
author={Zhao, Cankun and Zhang, Neng and Wang, Hanning and Yang, Bohan and Zhu, Wenping and Li, Zhengdong and Zhu, Min and Yin, Shouyi and Wei, Shaojun and Liu, Leibo},
journal={IACR Transactions on Cryptographic Hardware and Embedded Systems},
pages={270--295},
year={2022}
}"
